Time [s],46X [g],46 Y [g],46 Z [g],56X [g],56Y [g],56Z [g],57X [g],57Y [g],57Z [g],48X [g],48Y [g],48Z [g]
0.47455,2.2099447,2.1309385,1.337153,2.3470535,-1.506614,1.5721649,1.4068499,0.12059325,1.2581229,0.88242447,-1.2116627,-2.7223299
0.4746,2.1779435,2.1277773,1.339723,2.3300457,-1.506614,1.5556163,1.390798,0.13868567,1.2416534,0.88242447,-1.1960386,-2.690299
0.47465,2.193944,2.1308179,1.350377,2.3130376,-1.4900156,1.522519,1.3747461,0.1567781,1.2251838,0.86596322,-1.1804147,-2.6422527
0.4747,2.257947,2.1355717,1.3619541,2.2790217,-1.5232123,1.4894217,1.3747461,0.17487052,1.1922449,0.86596322,-1.1491667,-2.5942063
0.47475,2.2899482,2.1374719,1.3648921,2.227998,-1.5398107,1.4894217,1.3586942,0.17487052,1.1757754,0.84950191,-1.1179187,-2.578191
0.4748,2.257947,2.1340997,1.3544492,2.2620139,-1.5398107,1.522519,1.3586942,0.17487052,1.1757754,0.84950191,-1.1491667,-2.6102219
0.47485,2.193944,2.1251831,1.3361154,2.2960298,-1.5232123,1.5721649,1.3747461,0.17487052,1.1922449,0.86596322,-1.1804147,-2.690299
0.4749,2.145942,2.1129847,1.3214253,2.3130376,-1.506614,1.5721649,1.390798,0.17487052,1.1922449,0.86596322,-1.1960386,-2.7063143
0.47495,2.1299412,2.1024392,1.318053,2.2960298,-1.4900156,1.5556163,1.3747461,0.17487052,1.1757754,0.88242447,-1.1804147,-2.6742835
0.475,2.193944,2.0983307,1.3249847,2.2620139,-1.4900156,1.522519,1.3586942,0.17487052,1.1757754,0.88242447,-1.1647907,-2.6262374
0.47505,2.2419462,2.1012146,1.3355422,2.2450058,-1.4734174,1.5059704,1.3426424,0.19296294,1.1593059,0.88242447,-1.1491667,-2.5942063
0.4751,2.2419462,2.1063726,1.3427817,2.21099,-1.4900156,1.4894217,1.3265905,0.19296294,1.1428365,0.86596322,-1.1335428,-2.5461602
0.47515,2.1779435,2.1076818,1.3420577,2.1939821,-1.506614,1.4894217,1.2944868,0.17487052,1.1428365,0.84950191,-1.1335428,-2.5621755
0.4752,2.145942,2.1026623,1.3317113,2.21099,-1.506614,1.5059704,1.3105386,0.17487052,1.1593059,0.8330406,-1.1491667,-2.5942063
0.47525,2.145942,2.0935106,1.3151994,2.227998,-1.506614,1.5390676,1.3265905,0.1567781,1.1757754,0.8330406,-1.1804147,-2.6422527
0.4753,2.1299412,2.0840812,1.3016436,2.2620139,-1.4568191,1.5721649,1.3265905,0.1567781,1.1757754,0.84950191,-1.1960386,-2.6742835
0.47535,2.1139405,2.077415,1.2997311,2.2620139,-1.4402207,1.5556163,1.3265905,0.1567781,1.1757754,0.86596322,-1.1804147,-2.6422527
0.4754,2.1139405,2.0752311,1.3094561,2.21099,-1.4402207,1.522519,1.3105386,0.1567781,1.1593059,0.88242447,-1.1491667,-2.578191
0.47545,2.145942,2.0775356,1.3214856,2.1599662,-1.4402207,1.4728731,1.2944868,0.17487052,1.1428365,0.86596322,-1.1335428,-2.5141294
0.4755,2.1619427,2.0814207,1.3257207,2.1599662,-1.4734174,1.4728731,1.2784349,0.19296294,1.1263669,0.86596322,-1.1335428,-2.5141294
0.47555,2.1779435,2.0820663,1.3193922,2.1599662,-1.4734174,1.4894217,1.2784349,0.19296294,1.1263669,0.84950191,-1.1491667,-2.5301447
0.4756,2.1299412,2.076715,1.3066087,2.1599662,-1.4734174,1.5059704,1.2623831,0.17487052,1.1263669,0.8330406,-1.1647907,-2.578191
0.47565,2.0659385,2.0672014,1.2932941,2.1769741,-1.4568191,1.522519,1.2784349,0.17487052,1.1428365,0.8330406,-1.1960386,-2.5942063
0.4757,2.033937,2.0580554,1.2846973,2.1769741,-1.4402207,1.5390676,1.2944868,0.1567781,1.1428365,0.84950191,-1.1960386,-2.6262374
